Time_minutes Average_cpu_utilization Powerdraw_kJ cpu_demand cpu_usage cpu_idle_time
8155 0.08301223506286746 194.07976195643843 76504.07583393865 76504.07583393865 26389
8160 0.08177103022409218 193.3082962603122 75360.18145452335 75360.18145452335 26518
8165 0.08040873076332516 192.6191692187786 74104.68627148047 74104.68627148047 26634
8170 0.07942161112963902 192.08262300243973 73194.95681707533 73194.95681707533 26725
8175 0.07851952643612631 191.61301915112136 72363.595563534 72363.595563534 26803
8180 0.0796658703344662 192.03645786222816 73420.06610024405 73420.06610024405 26733
8185 0.07801755478974902 191.4154835460931 71900.9784942327 71900.9784942327 26837
8190 0.0743695181166793 189.8599732708931 68538.94789633165 68538.94789633165 27125
8195 0.07350993139717955 189.26287270747125 67746.75277564068 67746.75277564068 27237
8200 0.07418646777674555 189.46293794336916 68370.2487030487 68370.2487030487 27199
8205 0.07589763772989629 190.17396286860108 69947.26293187242 69947.26293187242 27066
8210 0.07731452106077477 190.845474918738 71253.06260961003 71253.06260961003 26939
8215 0.07604452118897209 190.4557628596276 70082.63072775668 70082.63072775668 27013
8220 0.07639999280013023 190.50203418782354 70410.23336460002 70410.23336460002 27004
8225 0.07613433744472076 190.4247645701915 70165.40538905465 70165.40538905465 27018
8230 0.07598276847111508 190.34699028502405 70025.71942297966 70025.71942297966 27033
8235 0.07609774383770533 190.38059636698662 70131.68072082923 70131.68072082923 27027
8240 0.07647861545331565 190.53629543246328 70482.69200177571 70482.69200177571 26997
8245 0.07541001565271262 190.15004183121025 69497.87042553995 69497.87042553995 27070
8250 0.07491982782561232 189.88345112858713 69046.11332408432 69046.11332408432 27121
8255 0.07547118192216824 190.06162378562988 69554.24125947026 69554.24125947026 27086
8260 0.07458951748196405 189.65326840130984 68741.69931137806 68741.69931137806 27165
8265 0.07681012875119181 190.55276400765777 70788.21465709838 70788.21465709838 26995
8270 0.07613725991595136 190.4564188181758 70168.09873854076 70168.09873854076 27012
8275 0.07607169639707774 190.38172373139858 70107.67539954685 70107.67539954685 27027
8280 0.07658896341405194 190.5763453259021 70584.38868239027 70584.38868239027 26989
8285 0.0766689301261239 190.64516605019568 70658.08600423578 70658.08600423578 26977
8290 0.07622317424702772 190.479173973158 70247.27738606076 70247.27738606076 27008
8295 0.07605042542517841 190.37983220794797 70088.07207184442 70088.07207184442 27027
8300 0.07709509541119475 190.76992663161457 71050.83993095708 71050.83993095708 26954
8305 0.07105446537762031 188.5176327201575 65483.795292014875 65483.795292014875 27377
8310 0.06827197487819509 187.00118682858349 62919.4520477446 62919.4520477446 27663
8315 0.06728888927438109 186.4177994878143 62013.44035526962 62013.44035526962 27773
8320 0.06991798737884945 187.35927121958136 64436.41716834766 64436.41716834766 27595
8325 0.07116578430252123 188.03345487965643 65586.38681320356 65586.38681320356 27469
8330 0.07149616839071672 188.2524773784131 65890.86878888453 65890.86878888453 27427
8335 0.07017809491168733 187.76854689742623 64676.13227061105 64676.13227061105 27518
8340 0.06997402229566116 187.59306363886594 64488.058947681326 64488.058947681326 27552
8345 0.06918800385088465 187.27502016475796 63763.66434897529 63763.66434897529 27611
8350 0.06758355549898795 186.5986851157993 62285.0047478673 62285.0047478673 27739
8355 0.06642662273972082 186.05656344811618 61218.7755169267 61218.7755169267 27844
8360 0.06408413209061344 185.28508737938105 59059.93613470934 59059.93613470934 28031
8365 0.0637049923457018 185.04174524500965 58710.52094579878 58710.52094579878 28091
8370 0.06303454465056565 184.82277829933167 58092.636349961314 58092.636349961314 28144
8375 0.0637671662971687 185.00113048146665 58767.820459470684 58767.820459470684 28101
8380 0.06760228813194297 186.25789744748175 62302.268742398635 62302.268742398635 27812
8385 0.06767373779234227 186.51699827431142 62368.11674942264 62368.11674942264 27754
8390 0.06817095417033489 186.7139516326487 62826.351363380636 62826.351363380636 27717
8395 0.06512139752803675 185.71487183095516 60015.87996183866 60015.87996183866 27931
8400 0.06244330920722932 184.72800610518456 57547.753765382535 57547.753765382535 28168
8405 0.06449769551718391 185.1833143877238 59441.07618863669 59441.07618863669 28056
8410 0.06524335662572198 185.51854097534715 60128.277466265376 60128.277466265376 27973
